timestamp,resource_type,priority,system_load,available_resources,queue_length,user_role,duration,success,resource_id,predicted_load,allocation_time
2026-01-01 00:00:00,GPU,Medium,33,1,11,user,38,1,GPU-Node-25,48,269
2026-01-01 00:02:00,CPU,High,19,13,7,user,35,1,CPU-Node-9,24,198
2026-01-01 00:04:00,GPU,Low,29,2,0,admin,28,1,GPU-Node-1,22,106
2026-01-01 00:06:00,CPU,High,42,7,4,user,35,1,CPU-Node-19,53,212
2026-01-01 00:08:00,CPU,Low,35,5,10,admin,25,1,CPU-Node-17,58,279
2026-01-01 00:10:00,CPU,Low,16,9,4,user,34,1,CPU-Node-26,24,151
2026-01-01 00:12:00,CPU,Medium,33,9,5,user,38,1,CPU-Node-1,51,184
2026-01-01 00:14:00,GPU,Medium,44,0,12,user,36,0,GPU-Node-22,71,311
2026-01-01 00:16:00,CPU,High,41,10,10,admin,39,1,CPU-Node-35,67,303
2026-01-01 00:18:00,GPU,Low,34,2,6,user,23,1,GPU-Node-17,48,222
2026-01-01 00:20:00,CPU,Medium,35,5,5,user,31,1,CPU-Node-35,49,205
2026-01-01 00:22:00,CPU,Medium,29,8,13,admin,23,1,CPU-Node-24,58,301
2026-01-01 00:24:00,CPU,Medium,34,10,2,user,29,1,CPU-Node-16,27,154
2026-01-01 00:26:00,GPU,Medium,35,2,7,admin,14,1,GPU-Node-49,52,250
2026-01-01 00:28:00,GPU,Medium,31,2,5,user,31,1,GPU-Node-30,48,175
2026-01-01 00:30:00,CPU,Low,29,6,6,user,16,1,CPU-Node-36,33,233
2026-01-01 00:32:00,GPU,Low,28,2,10,user,27,1,GPU-Node-1,50,219
2026-01-01 00:34:00,GPU,Low,24,3,4,user,17,1,GPU-Node-38,29,169
2026-01-01 00:36:00,GPU,Low,52,1,5,user,41,1,GPU-Node-19,65,191
2026-01-01 00:38:00,GPU,High,43,1,10,admin,26,1,GPU-Node-1,61,300
2026-01-01 00:40:00,GPU,High,35,2,11,user,20,1,GPU-Node-10,55,252
2026-01-01 00:42:00,GPU,Medium,35,3,10,user,38,1,GPU-Node-37,50,254
2026-01-01 00:44:00,CPU,High,63,6,14,user,32,1,CPU-Node-37,88,378
2026-01-01 00:46:00,GPU,High,25,2,2,user,17,1,GPU-Node-41,32,141
2026-01-01 00:48:00,CPU,Low,20,10,3,user,16,1,CPU-Node-23,23,135
2026-01-01 00:50:00,CPU,Medium,53,6,10,user,16,1,CPU-Node-12,73,288
2026-01-01 00:52:00,CPU,Low,36,11,3,user,30,1,CPU-Node-1,37,156
2026-01-01 00:54:00,CPU,High,47,11,5,user,35,1,CPU-Node-38,53,193
2026-01-01 00:56:00,CPU,Medium,18,9,0,user,22,1,CPU-Node-44,18,110
2026-01-01 00:58:00,GPU,Low,39,2,4,user,29,1,GPU-Node-42,52,200
2026-01-01 01:00:00,CPU,Medium,40,16,3,admin,27,1,CPU-Node-39,54,185
2026-01-01 01:02:00,CPU,Medium,32,10,9,user,28,1,CPU-Node-12,49,298
2026-01-01 01:04:00,GPU,High,32,1,8,user,24,1,GPU-Node-1,52,215
2026-01-01 01:06:00,CPU,Medium,17,4,1,user,41,1,CPU-Node-49,23,61
2026-01-01 01:08:00,CPU,Medium,27,12,3,admin,21,1,CPU-Node-6,32,169
2026-01-01 01:10:00,CPU,Medium,41,5,5,admin,39,1,CPU-Node-11,53,225
2026-01-01 01:12:00,CPU,Medium,35,12,1,user,34,1,CPU-Node-7,41,135
2026-01-01 01:14:00,CPU,Medium,22,11,7,user,31,1,CPU-Node-40,39,186
2026-01-01 01:16:00,GPU,Low,43,4,4,user,24,1,GPU-Node-19,54,237
2026-01-01 01:18:00,CPU,Medium,30,8,6,user,39,1,CPU-Node-36,44,230
2026-01-01 01:20:00,CPU,High,44,8,11,user,38,1,CPU-Node-43,71,313
2026-01-01 01:22:00,CPU,Medium,30,2,7,user,39,1,CPU-Node-36,48,258
2026-01-01 01:24:00,CPU,Medium,38,7,12,user,37,1,CPU-Node-37,64,305
2026-01-01 01:26:00,GPU,High,19,0,8,user,24,0,GPU-Node-28,25,198
2026-01-01 01:28:00,CPU,Medium,37,11,6,user,36,1,CPU-Node-33,44,183
2026-01-01 01:30:00,CPU,Medium,42,8,13,user,16,1,CPU-Node-12,63,311
2026-01-01 01:32:00,CPU,Medium,47,9,9,user,35,1,CPU-Node-36,63,289
2026-01-01 01:34:00,CPU,High,47,3,13,user,5,1,CPU-Node-5,67,353
2026-01-01 01:36:00,GPU,Medium,21,2,5,user,19,1,GPU-Node-19,42,124
2026-01-01 01:38:00,CPU,Low,36,4,11,user,28,1,CPU-Node-42,71,273
2026-01-01 01:40:00,CPU,Low,27,12,8,user,30,1,CPU-Node-5,45,251
2026-01-01 01:42:00,GPU,High,33,1,12,user,31,1,GPU-Node-41,62,309
2026-01-01 01:44:00,CPU,High,21,6,1,admin,23,1,CPU-Node-31,12,101
2026-01-01 01:46:00,GPU,Medium,32,2,7,user,40,1,GPU-Node-50,49,247
2026-01-01 01:48:00,GPU,Low,33,0,5,user,39,0,GPU-Node-2,44,212
2026-01-01 01:50:00,CPU,High,38,9,9,user,30,1,CPU-Node-46,53,284
2026-01-01 01:52:00,CPU,High,41,11,2,user,12,1,CPU-Node-26,41,147
2026-01-01 01:54:00,GPU,Medium,27,3,2,admin,36,1,GPU-Node-37,36,121
2026-01-01 01:56:00,CPU,Low,38,10,6,user,27,1,CPU-Node-19,53,179
2026-01-01 01:58:00,CPU,Low,20,10,3,user,36,1,CPU-Node-43,19,144
2026-01-01 02:00:00,CPU,Low,36,4,2,user,18,1,CPU-Node-49,38,136
2026-01-01 02:02:00,CPU,Low,39,5,11,user,33,1,CPU-Node-47,51,281
2026-01-01 02:04:00,CPU,High,32,7,6,admin,40,1,CPU-Node-23,44,182
2026-01-01 02:06:00,CPU,Medium,19,5,4,user,42,1,CPU-Node-47,25,140
2026-01-01 02:08:00,GPU,Low,21,0,0,user,37,0,GPU-Node-44,18,70
2026-01-01 02:10:00,CPU,Low,41,5,7,user,28,1,CPU-Node-45,60,199
2026-01-01 02:12:00,CPU,Low,25,6,3,admin,16,1,CPU-Node-15,29,114
2026-01-01 02:14:00,CPU,Low,33,10,4,user,39,1,CPU-Node-49,40,191
2026-01-01 02:16:00,CPU,High,38,8,8,user,42,1,CPU-Node-14,47,237
2026-01-01 02:18:00,GPU,Low,31,2,4,user,5,1,GPU-Node-4,40,196
2026-01-01 02:20:00,CPU,Low,32,13,9,user,27,1,CPU-Node-25,59,273
2026-01-01 02:22:00,CPU,Low,18,11,3,user,31,1,CPU-Node-15,26,132
2026-01-01 02:24:00,CPU,Medium,48,8,10,user,33,1,CPU-Node-46,64,279
2026-01-01 02:26:00,CPU,Low,39,4,5,user,40,1,CPU-Node-17,47,266
2026-01-01 02:28:00,GPU,Low,35,1,4,admin,28,1,GPU-Node-32,38,159
2026-01-01 02:30:00,CPU,High,35,5,5,user,20,1,CPU-Node-20,45,226
2026-01-01 02:32:00,CPU,Medium,42,4,6,admin,27,1,CPU-Node-41,53,232
2026-01-01 02:34:00,CPU,Low,37,9,6,user,21,1,CPU-Node-30,46,237
2026-01-01 02:36:00,CPU,Low,41,6,10,admin,26,1,CPU-Node-36,65,279
2026-01-01 02:38:00,GPU,Medium,42,3,10,user,31,1,GPU-Node-27,67,275
2026-01-01 02:40:00,CPU,High,52,6,8,admin,7,1,CPU-Node-40,67,273
2026-01-01 02:42:00,GPU,High,39,1,7,admin,24,1,GPU-Node-46,54,244
2026-01-01 02:44:00,CPU,High,37,7,12,user,15,1,CPU-Node-22,60,300
2026-01-01 02:46:00,GPU,Low,31,3,9,user,18,1,GPU-Node-16,54,205
2026-01-01 02:48:00,CPU,Low,30,11,3,user,43,1,CPU-Node-11,43,148
2026-01-01 02:50:00,CPU,Low,49,3,7,admin,41,1,CPU-Node-23,55,269
2026-01-01 02:52:00,CPU,High,26,9,6,user,24,1,CPU-Node-23,43,193
2026-01-01 02:54:00,CPU,Medium,32,3,5,user,36,1,CPU-Node-5,36,214
2026-01-01 02:56:00,CPU,Medium,33,6,5,user,37,1,CPU-Node-21,38,202
2026-01-01 02:58:00,GPU,Medium,26,2,7,user,24,1,GPU-Node-42,45,227
2026-01-01 03:00:00,CPU,Medium,34,4,6,user,23,1,CPU-Node-31,51,183
2026-01-01 03:02:00,GPU,High,21,1,0,user,18,1,GPU-Node-39,20,73
2026-01-01 03:04:00,CPU,Low,49,10,10,admin,32,1,CPU-Node-3,73,295
2026-01-01 03:06:00,CPU,Low,33,5,8,user,5,1,CPU-Node-40,52,261
2026-01-01 03:08:00,GPU,Low,25,2,2,user,33,1,GPU-Node-46,34,149
2026-01-01 03:10:00,CPU,Low,17,5,8,user,34,1,CPU-Node-26,32,225
2026-01-01 03:12:00,GPU,High,43,3,10,user,36,1,GPU-Node-41,65,255
2026-01-01 03:14:00,GPU,High,39,1,6,user,38,1,GPU-Node-43,40,229
2026-01-01 03:16:00,CPU,Medium,33,5,7,user,10,1,CPU-Node-29,54,174
2026-01-01 03:18:00,CPU,High,32,11,4,admin,12,1,CPU-Node-47,43,185
2026-01-01 03:20:00,CPU,Low,28,9,9,user,28,1,CPU-Node-13,49,222
2026-01-01 03:22:00,CPU,Low,21,11,2,user,32,1,CPU-Node-36,23,117
